country,year,01 Marginal rate,01 Threshold,02 Marginal rate,02 Threshold,03 Marginal rate,03 Threshold,04 Marginal rate,Personal allowance,Tax credit
Latvia,2015,23,NA,NA,NA,NA,NA,NA,900,NA
Latvia,2016,23,NA,NA,NA,NA,NA,NA,900,NA
Latvia,2017,23,NA,NA,NA,NA,NA,NA,720,NA
Latvia,2018,23,NA,NA,NA,NA,NA,NA,720,NA
Latvia,2019,20,20004,23,62800,31.4,NA,NA,2760,NA
Latvia,2020,20,20004,23,62800,31.4,NA,NA,3600,NA
Latvia,2021,20,20004,23,62800,31,NA,NA,3600,NA
Lithuania,2000,33,NA,NA,NA,NA,NA,NA,699.73,NA
Lithuania,2001,33,NA,NA,NA,NA,NA,NA,719.33,NA
Lithuania,2002,33,NA,NA,NA,NA,NA,NA,838.01,NA
Lithuania,2003,33,NA,NA,NA,NA,NA,NA,1007.88,NA
Lithuania,2004,33,NA,NA,NA,NA,NA,NA,1007.88,NA
Lithuania,2005,33,NA,NA,NA,NA,NA,NA,1007.88,NA
Lithuania,2006,29.975342,NA,NA,NA,NA,NA,NA,1007.88,NA
Lithuania,2007,27,NA,NA,NA,NA,NA,NA,1112.14,NA
Lithuania,2008,24,NA,NA,NA,NA,NA,NA,1112.14,NA
Lithuania,2009,15,NA,NA,NA,NA,NA,NA,1633.46,NA
Lithuania,2010,15,NA,NA,NA,NA,NA,NA,1633.46,NA
Lithuania,2011,15,NA,NA,NA,NA,NA,NA,1633.46,NA
Lithuania,2012,15,NA,NA,NA,NA,NA,NA,1633.46,NA
Lithuania,2013,15,NA,NA,NA,NA,NA,NA,1633.46,NA
Lithuania,2014,15,NA,NA,NA,NA,NA,NA,1981,NA
Lithuania,2015,15,NA,NA,NA,NA,NA,NA,192,NA
Lithuania,2016,15,NA,NA,NA,NA,NA,NA,2400,NA
Lithuania,2017,15,NA,NA,NA,NA,NA,NA,3720,NA
Lithuania,2018,15,NA,NA,NA,NA,NA,NA,4560,NA
Lithuania,2019,20,136344,27,NA,NA,NA,NA,3600,NA
Lithuania,2020,20,104278,32,NA,NA,NA,NA,4800,NA
Lithuania,2021,20,81162,32,NA,NA,NA,NA,4800,NA
Poland,2000,30,65472,40,NA,NA,NA,NA,982.08,436.2
Poland,2001,19,37024,30,74048,40,NA,NA,1110.72,493.32
Poland,2002,30,74048,40,NA,NA,NA,NA,1155.12,518.16
Poland,2003,30,74048,40,NA,NA,NA,NA,1199.52,530.08
Poland,2004,30,74048,40,NA,NA,NA,NA,1227,530.08
Poland,2005,30,74048,40,NA,NA,NA,NA,1227,530.08
Poland,2006,30,74048,40,NA,NA,NA,NA,1227,530.08
Poland,2007,30,85528,40,NA,NA,NA,NA,1302,572.54
Poland,2008,30,85528,40,NA,NA,NA,NA,1335,586.85
Poland,2009,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2010,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2011,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2012,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2013,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2014,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2015,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2016,18,85528,32,NA,NA,NA,NA,1335,556.02
Poland,2017,18,85528,32,NA,NA,NA,NA,1335,1188
Poland,2018,18,85528,32,NA,NA,NA,NA,1335,1440
Poland,2019,17.75,85528,32,NA,NA,NA,NA,1751.25,1420
Poland,2020,17,85528,32,NA,NA,NA,NA,3000,1360
Poland,2021,17,85528,32,NA,NA,NA,NA,3000,1360
