"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna mai 2020"," Lei RON",3968
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iunie 2020"," Lei RON",4085
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iulie 2020"," Lei RON",4218
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna august 2020"," Lei RON",4219
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2020"," Lei RON",4282
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2020"," Lei RON",4333
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna noiembrie 2020"," Lei RON",4360
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna decembrie 2020"," Lei RON",4643
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna ianuarie 2021"," Lei RON",4281
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna februarie 2021"," Lei RON",4313
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna martie 2021"," Lei RON",4349
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna aprilie 2021"," Lei RON",4557
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna mai 2021"," Lei RON",4438
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iunie 2021"," Lei RON",4447
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iulie 2021"," Lei RON",4639
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna august 2021"," Lei RON",4629
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2021"," Lei RON",4603
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2021"," Lei RON",4594
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna noiembrie 2021"," Lei RON",5040
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna decembrie 2021"," Lei RON",5314
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna ianuarie 2022"," Lei RON",4747
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna februarie 2022"," Lei RON",4747
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna martie 2022"," Lei RON",4860
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna aprilie 2022"," Lei RON",5018
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna mai 2022"," Lei RON",4960
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iunie 2022"," Lei RON",5113
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna iulie 2022"," Lei RON",5180
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna august 2022"," Lei RON",5154
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2022"," Lei RON",5121
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2022"," Lei RON",5179
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna noiembrie 2022"," Lei RON",6073
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna decembrie 2022"," Lei RON",5691
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna ianuarie 2023"," Lei RON",5204
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna februarie 2023"," Lei RON",5242
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna martie 2023"," Lei RON",5380
"01 Agricultura  vanatoare si servicii anexe"," Luna septembrie 2016"," Lei RON",2186
"01 Agricultura  vanatoare si servicii anexe"," Luna octombrie 2016"," Lei RON",2218
"01 Agricultura  vanatoare si servicii anexe"," Luna noiembrie 2016"," Lei RON",2256
"01 Agricultura  vanatoare si servicii anexe"," Luna decembrie 2016"," Lei RON",2273
"01 Agricultura  vanatoare si servicii anexe"," Luna ianuarie 2017"," Lei RON",2174
"01 Agricultura  vanatoare si servicii anexe"," Luna februarie 2017"," Lei RON",2226
"01 Agricultura  vanatoare si servicii anexe"," Luna martie 2017"," Lei RON",2327
"01 Agricultura  vanatoare si servicii anexe"," Luna aprilie 2017"," Lei RON",2377
"01 Agricultura  vanatoare si servicii anexe"," Luna mai 2017"," Lei RON",2348
"01 Agricultura  vanatoare si servicii anexe"," Luna iunie 2017"," Lei RON",2371
"01 Agricultura  vanatoare si servicii anexe"," Luna iulie 2017"," Lei RON",2491
"01 Agricultura  vanatoare si servicii anexe"," Luna august 2017"," Lei RON",2513
"01 Agricultura  vanatoare si servicii anexe"," Luna septembrie 2017"," Lei RON",2543
"01 Agricultura  vanatoare si servicii anexe"," Luna octombrie 2017"," Lei RON",2508
"01 Agricultura  vanatoare si servicii anexe"," Luna noiembrie 2017"," Lei RON",2541
"01 Agricultura  vanatoare si servicii anexe"," Luna decembrie 2017"," Lei RON",2569
"01 Agricultura  vanatoare si servicii anexe"," Luna ianuarie 2018"," Lei RON",3024
"01 Agricultura  vanatoare si servicii anexe"," Luna februarie 2018"," Lei RON",3219
"01 Agricultura  vanatoare si servicii anexe"," Luna martie 2018"," Lei RON",3107
"01 Agricultura  vanatoare si servicii anexe"," Luna aprilie 2018"," Lei RON",3256
"01 Agricultura  vanatoare si servicii anexe"," Luna mai 2018"," Lei RON",3216
"01 Agricultura  vanatoare si servicii anexe"," Luna iunie 2018"," Lei RON",3222
"01 Agricultura  vanatoare si servicii anexe"," Luna iulie 2018"," Lei RON",3304
"01 Agricultura  vanatoare si servicii anexe"," Luna august 2018"," Lei RON",3288
"01 Agricultura  vanatoare si servicii anexe"," Luna septembrie 2018"," Lei RON",3368
"01 Agricultura  vanatoare si servicii anexe"," Luna octombrie 2018"," Lei RON",3334
"01 Agricultura  vanatoare si servicii anexe"," Luna noiembrie 2018"," Lei RON",3499
"01 Agricultura  vanatoare si servicii anexe"," Luna decembrie 2018"," Lei RON",3499
"01 Agricultura  vanatoare si servicii anexe"," Luna ianuarie 2019"," Lei RON",3489
"01 Agricultura  vanatoare si servicii anexe"," Luna februarie 2019"," Lei RON",3545
"01 Agricultura  vanatoare si servicii anexe"," Luna martie 2019"," Lei RON",3649
"01 Agricultura  vanatoare si servicii anexe"," Luna aprilie 2019"," Lei RON",3719
"01 Agricultura  vanatoare si servicii anexe"," Luna mai 2019"," Lei RON",3647
"01 Agricultura  vanatoare si servicii anexe"," Luna iunie 2019"," Lei RON",3791
"01 Agricultura  vanatoare si servicii anexe"," Luna iulie 2019"," Lei RON",3869
"01 Agricultura  vanatoare si servicii anexe"," Luna august 2019"," Lei RON",3830
"01 Agricultura  vanatoare si servicii anexe"," Luna septembrie 2019"," Lei RON",3834
"01 Agricultura  vanatoare si servicii anexe"," Luna octombrie 2019"," Lei RON",3856
"01 Agricultura  vanatoare si servicii anexe"," Luna noiembrie 2019"," Lei RON",3850
"01 Agricultura  vanatoare si servicii anexe"," Luna decembrie 2019"," Lei RON",4048
"01 Agricultura  vanatoare si servicii anexe"," Luna ianuarie 2020"," Lei RON",3870
"01 Agricultura  vanatoare si servicii anexe"," Luna februarie 2020"," Lei RON",3964
"01 Agricultura  vanatoare si servicii anexe"," Luna martie 2020"," Lei RON",3933
"01 Agricultura  vanatoare si servicii anexe"," Luna aprilie 2020"," Lei RON",3961
"01 Agricultura  vanatoare si servicii anexe"," Luna mai 2020"," Lei RON",3875
"01 Agricultura  vanatoare si servicii anexe"," Luna iunie 2020"," Lei RON",3960
"01 Agricultura  vanatoare si servicii anexe"," Luna iulie 2020"," Lei RON",3972
"01 Agricultura  vanatoare si servicii anexe"," Luna august 2020"," Lei RON",3992
"01 Agricultura  vanatoare si servicii anexe"," Luna septembrie 2020"," Lei RON",4034
"01 Agricultura  vanatoare si servicii anexe"," Luna octombrie 2020"," Lei RON",4059
"01 Agricultura  vanatoare si servicii anexe"," Luna noiembrie 2020"," Lei RON",4098
"01 Agricultura  vanatoare si servicii anexe"," Luna decembrie 2020"," Lei RON",4238
"01 Agricultura  vanatoare si servicii anexe"," Luna ianuarie 2021"," Lei RON",3988
"01 Agricultura  vanatoare si servicii anexe"," Luna februarie 2021"," Lei RON",3983
"01 Agricultura  vanatoare si servicii anexe"," Luna martie 2021"," Lei RON",4018
"01 Agricultura  vanatoare si servicii anexe"," Luna aprilie 2021"," Lei RON",4170
