"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2003"," Lei RON",319
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2003"," Lei RON",320
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2003"," Lei RON",331
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2003"," Lei RON",340
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2003"," Lei RON",341
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2003"," Lei RON",341
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2003"," Lei RON",353
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2003"," Lei RON",340
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2003"," Lei RON",346
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2003"," Lei RON",350
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2003"," Lei RON",353
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2003"," Lei RON",376
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2004"," Lei RON",420
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2004"," Lei RON",425
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2004"," Lei RON",442
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2004"," Lei RON",438
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2004"," Lei RON",438
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2004"," Lei RON",449
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2004"," Lei RON",440
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2004"," Lei RON",436
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2004"," Lei RON",451
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2004"," Lei RON",457
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2004"," Lei RON",467
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2004"," Lei RON",469
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2005"," Lei RON",535
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2005"," Lei RON",525
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2005"," Lei RON",565
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2005"," Lei RON",557
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2005"," Lei RON",545
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2005"," Lei RON",555
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2005"," Lei RON",569
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2005"," Lei RON",580
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2005"," Lei RON",577
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2005"," Lei RON",573
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2005"," Lei RON",612
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2005"," Lei RON",629
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2006"," Lei RON",576
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2006"," Lei RON",601
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2006"," Lei RON",627
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2006"," Lei RON",625
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2006"," Lei RON",645
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2006"," Lei RON",649
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2006"," Lei RON",654
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2006"," Lei RON",652
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2006"," Lei RON",669
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2006"," Lei RON",690
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2006"," Lei RON",715
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2006"," Lei RON",737
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2007"," Lei RON",703
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2007"," Lei RON",736
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2007"," Lei RON",753
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2007"," Lei RON",744
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2007"," Lei RON",772
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2007"," Lei RON",775
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2007"," Lei RON",790
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2007"," Lei RON",789
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2007"," Lei RON",788
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2007"," Lei RON",823
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2007"," Lei RON",844
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2007"," Lei RON",857
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2008"," Lei RON",830
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2008"," Lei RON",863
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2008"," Lei RON",882
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2008"," Lei RON",911
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2008"," Lei RON",913
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2008"," Lei RON",903
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2008"," Lei RON",951
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2008"," Lei RON",957
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2008"," Lei RON",975
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2008"," Lei RON",1044
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2008"," Lei RON",1118
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2008"," Lei RON",1093
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2009"," Lei RON",1001
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2009"," Lei RON",1029
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2009"," Lei RON",1005
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2009"," Lei RON",1029
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2009"," Lei RON",1062
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2009"," Lei RON",1047
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2009"," Lei RON",1072
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2009"," Lei RON",1050
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2009"," Lei RON",1073
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2009"," Lei RON",1076
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2009"," Lei RON",1158
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2009"," Lei RON",1145
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2010"," Lei RON",1120
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2010"," Lei RON",1130
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2010"," Lei RON",1263
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2010"," Lei RON",1150
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2010"," Lei RON",1175
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2010"," Lei RON",1144
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2010"," Lei RON",1162
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2010"," Lei RON",1157
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2010"," Lei RON",1156
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2010"," Lei RON",1184
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2010"," Lei RON",1239
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2010"," Lei RON",1249
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2011"," Lei RON",1242
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2011"," Lei RON",1347
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2011"," Lei RON",1274
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2011"," Lei RON",1303
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2011"," Lei RON",1302
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2011"," Lei RON",1304
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2011"," Lei RON",1297
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2011"," Lei RON",1311
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2011"," Lei RON",1298
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2011"," Lei RON",1324
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2011"," Lei RON",1404
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2011"," Lei RON",1374
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2012"," Lei RON",1520
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2012"," Lei RON",1602
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2012"," Lei RON",1543
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2012"," Lei RON",1496
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2012"," Lei RON",1581
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2012"," Lei RON",1585
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2012"," Lei RON",1558
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2012"," Lei RON",1567
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2012"," Lei RON",1601
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2012"," Lei RON",1567
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2012"," Lei RON",1690
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2012"," Lei RON",1781
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2013"," Lei RON",1380
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2013"," Lei RON",1401
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2013"," Lei RON",1556
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2013"," Lei RON",1466
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2013"," Lei RON",1461
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2013"," Lei RON",1482
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2013"," Lei RON",1476
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2013"," Lei RON",1468
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2013"," Lei RON",1464
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2013"," Lei RON",1469
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2013"," Lei RON",1509
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2013"," Lei RON",1652
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2014"," Lei RON",1498
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2014"," Lei RON",1648
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2014"," Lei RON",1577
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2014"," Lei RON",1566
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2014"," Lei RON",1606
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2014"," Lei RON",1580
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2014"," Lei RON",1603
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2014"," Lei RON",1616
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2014"," Lei RON",1613
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna octombrie 2014"," Lei RON",1623
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna noiembrie 2014"," Lei RON",1675
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna decembrie 2014"," Lei RON",1764
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna ianuarie 2015"," Lei RON",1664
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna februarie 2015"," Lei RON",1802
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna martie 2015"," Lei RON",1722
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna aprilie 2015"," Lei RON",1715
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna mai 2015"," Lei RON",1748
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iunie 2015"," Lei RON",1718
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna iulie 2015"," Lei RON",1803
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna august 2015"," Lei RON",1786
"16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite"," Luna septembrie 2015"," Lei RON",1784
